Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
26-Jul-24 17:23:09:613,DRUPLUS999,,,0,0,0,0,89.06,86,0.5,,,,,,,0,0,0
26-Jul-24 17:23:11:623,DRUPLUS999,,,0,0,0,50,89.06,86,0.5,,,,,,,0,0,0
26-Jul-24 17:23:13:611,DRUPLUS999,,,0,0,0,50,89.06,86,0.5,,,,,,,0,0,0
26-Jul-24 17:23:15:616,DRUPLUS999,,,1,0,0,50,89.06,86,0.5,,,,,,,0,0,0
26-Jul-24 17:23:17:617,DRUPLUS999,,,0,0,0,50,89.06,86,0.5,,,,,,,0,0,0
26-Jul-24 17:23:19:614,DRUPLUS999,,,1,0,0,50,89.06,86,0.5,,,,,,,0,0,0
26-Jul-24 17:23:21:617,DRUPLUS999,,,0,0,0,50,89.06,86,0.5,,,,,,,0,0,0
26-Jul-24 17:23:23:613,DRUPLUS999,,,1,0,1,50,89.06,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:25:624,DRUPLUS999,,,0,0,1,50,89.06,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:27:613,DRUPLUS999,,,1,0,1,50,89.24,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:29:630,DRUPLUS999,,,0,0,1,50,89.24,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:31:614,DRUPLUS999,,,1,0,1,50,89.24,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:33:613,DRUPLUS999,,,0,0,1,50,89.42,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:35:613,DRUPLUS999,,,1,0,1,50,89.6,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:37:625,DRUPLUS999,,,0,0,1,50,89.78,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:39:623,DRUPLUS999,,,1,0,1,50,89.96,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:41:618,DRUPLUS999,,,0,0,1,50,90.32,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:43:622,DRUPLUS999,,,1,0,1,50,90.5,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:45:621,DRUPLUS999,,,0,0,1,50,90.86,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:47:614,DRUPLUS999,,,1,0,1,50,91.22,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:49:614,DRUPLUS999,,,0,0,1,50,91.58,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:51:614,DRUPLUS999,,,1,0,1,50,92.12,86,0.5,,,,,,,600,0,0
26-Jul-24 17:23:53:624,DRUPLUS999,,,0,0,1,50,92.48,86.18,0.5,,,,,,,600,0,0
26-Jul-24 17:23:55:615,DRUPLUS999,,,1,0,1,50,93.02,86.18,0.5,,,,,,,600,0,0
26-Jul-24 17:23:57:629,DRUPLUS999,,,0,0,1,50,93.56,86.36,0.5,,,,,,,600,0,0
26-Jul-24 17:23:59:616,DRUPLUS999,,,1,0,1,50,94.28,86.36,0.5,,,,,,,600,0,0
26-Jul-24 17:24:01:616,DRUPLUS999,,,0,0,1,50,94.82,86.36,0.5,,,,,,,600,0,0
26-Jul-24 17:24:03:623,DRUPLUS999,,,1,0,1,50,95.54,86.36,0.5,,,,,,,600,0,0
26-Jul-24 17:24:05:628,DRUPLUS999,,,0,0,1,50,96.44,86.36,0.5,,,,,,,600,0,0
26-Jul-24 17:24:07:617,DRUPLUS999,,,1,0,1,50,96.98,86.54,0.5,,,,,,,600,0,0
