Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
01-Jul-24 15:27:17:848,DRUPLUS999,,,0,0,1,0,86.36,86,179.1,,,,,,,600,0,0
01-Jul-24 15:27:19:846,DRUPLUS999,,,0,0,1,0,86.36,86,179.1,,,,,,,600,0,0
01-Jul-24 15:27:21:846,DRUPLUS999,,,0,0,1,0,86.36,86,179.1,,,,,,,600,0,0
01-Jul-24 15:27:23:859,DRUPLUS999,,,0,0,1,0,86.36,86,179,,,,,,,600,0,0
01-Jul-24 15:27:25:850,DRUPLUS999,,,0,0,1,0,86.36,86,179,,,,,,,600,0,0
01-Jul-24 15:27:27:850,DRUPLUS999,,,0,0,1,0,86.36,86,179,,,,,,,600,0,0
01-Jul-24 15:27:29:848,DRUPLUS999,,,0,0,1,0,86.36,86,179,,,,,,,600,0,0
01-Jul-24 15:27:31:848,DRUPLUS999,,,0,0,1,0,86.36,86,179,,,,,,,600,0,0
01-Jul-24 15:27:33:848,DRUPLUS999,,,0,0,1,50,86.36,86,179,,,,,,,600,0,0
01-Jul-24 15:27:35:855,DRUPLUS999,,,1,0,1,50,86.36,86,179,,,,,,,600,0,0
01-Jul-24 15:27:37:857,DRUPLUS999,,,0,0,1,50,86.36,86,178.9,,,,,,,600,0,0
01-Jul-24 15:27:39:849,DRUPLUS999,,,1,0,1,50,86.36,86,178.9,,,,,,,600,0,0
01-Jul-24 15:27:41:855,DRUPLUS999,,,0,0,1,50,86.36,86,178.9,,,,,,,600,0,0
01-Jul-24 15:27:43:850,DRUPLUS999,,,1,0,1,50,86.36,86,178.9,,,,,,,600,0,0
01-Jul-24 15:27:45:850,DRUPLUS999,,,0,0,1,50,86.36,86,178.9,,,,,,,600,0,0
01-Jul-24 15:27:47:851,DRUPLUS999,,,1,0,1,50,86.36,86,178.9,,,,,,,600,0,0
01-Jul-24 15:27:49:846,DRUPLUS999,,,0,0,1,50,86.54,86,178.8,,,,,,,600,0,0
01-Jul-24 15:27:51:851,DRUPLUS999,,,1,0,1,50,86.54,86,178.8,,,,,,,600,0,0
01-Jul-24 15:27:53:849,DRUPLUS999,,,0,0,1,50,86.54,86,178.8,,,,,,,600,0,0
01-Jul-24 15:27:55:852,DRUPLUS999,,,1,0,1,50,86.72,86,178.8,,,,,,,600,0,0
01-Jul-24 15:27:57:852,DRUPLUS999,,,0,0,1,50,86.9,86,178.8,,,,,,,600,0,0
01-Jul-24 15:27:59:849,DRUPLUS999,,,1,0,1,50,87.26,86,178.8,,,,,,,600,0,0
01-Jul-24 15:28:01:859,DRUPLUS999,,,0,0,1,50,87.44,86,178.8,,,,,,,600,0,0
01-Jul-24 15:28:03:848,DRUPLUS999,,,1,0,1,50,87.62,86,178.8,,,,,,,600,0,0
01-Jul-24 15:28:05:864,DRUPLUS999,,,0,0,1,50,87.98,86.18,178.7,,,,,,,600,0,0
01-Jul-24 15:28:07:854,DRUPLUS999,,,1,0,1,50,88.34,86,178.7,,,,,,,600,0,0
