Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
03-Jul-24 18:06:55:872,DRUPLUS999,,,0,0,1,0,88.34,84.38,184.3,,,,,,,600,0,0
03-Jul-24 18:06:57:876,DRUPLUS999,,,0,0,1,0,88.34,84.38,184.6,,,,,,,600,0,0
03-Jul-24 18:06:59:877,DRUPLUS999,,,0,0,1,0,88.34,84.56,184.8,,,,,,,600,0,0
03-Jul-24 18:07:01:880,DRUPLUS999,,,0,0,1,0,88.34,84.38,185.3,,,,,,,600,0,0
03-Jul-24 18:07:03:874,DRUPLUS999,,,1,0,1,100,88.34,84.38,185.4,,,,,,,600,0,0
03-Jul-24 18:07:05:872,DRUPLUS999,,,1,0,1,100,88.34,84.56,185.5,,,,,,,600,0,0
03-Jul-24 18:07:07:872,DRUPLUS999,,,1,0,1,100,88.34,84.56,186,,,,,,,600,0,0
03-Jul-24 18:07:09:873,DRUPLUS999,,,1,0,1,100,88.16,84.56,186.3,,,,,,,600,0,0
03-Jul-24 18:07:11:873,DRUPLUS999,,,1,0,1,100,88.16,84.56,186.4,,,,,,,600,0,0
03-Jul-24 18:07:13:877,DRUPLUS999,,,1,0,1,100,88.16,84.56,186.6,,,,,,,600,0,0
03-Jul-24 18:07:15:873,DRUPLUS999,,,1,0,1,100,88.34,84.56,186.9,,,,,,,600,0,0
03-Jul-24 18:07:17:875,DRUPLUS999,,,1,0,1,100,88.34,84.56,187,,,,,,,600,0,0
03-Jul-24 18:07:19:873,DRUPLUS999,,,1,0,1,100,88.34,84.56,187.4,,,,,,,600,0,0
03-Jul-24 18:07:21:877,DRUPLUS999,,,1,0,1,100,88.52,84.56,187.7,,,,,,,600,0,0
03-Jul-24 18:07:23:873,DRUPLUS999,,,1,0,1,100,88.7,84.74,187.9,,,,,,,600,0,0
03-Jul-24 18:07:25:879,DRUPLUS999,,,1,0,1,100,89.06,84.74,188.2,,,,,,,600,0,0
