Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
24-Jun-24 19:27:01:705,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:27:03:705,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:27:05:706,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:27:07:707,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:27:09:707,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:27:11:707,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:27:13:706,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:27:15:706,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:27:17:706,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:27:19:706,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:27:21:707,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.6,,,,,,,600,0,0
24-Jun-24 19:27:23:706,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.6,,,,,,,600,0,0
24-Jun-24 19:27:25:706,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.6,,,,,,,600,0,0
24-Jun-24 19:27:27:707,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:27:29:707,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:27:31:707,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:27:33:708,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:27:35:708,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:27:37:708,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:27:39:708,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:27:41:708,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.6,,,,,,,600,0,0
24-Jun-24 19:27:43:708,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:27:45:709,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:27:47:708,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.6,,,,,,,600,0,0
24-Jun-24 19:27:49:709,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:27:51:709,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.6,,,,,,,600,0,0
24-Jun-24 19:27:53:708,DRUPLUS999,,,0,0,1,0,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:27:55:709,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:27:57:709,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:27:59:709,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:01:709,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:03:709,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:05:710,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:07:710,DRUPLUS999,,,0,0,1,0,84.56,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:09:710,DRUPLUS999,,,1,0,1,50,84.56,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:11:711,DRUPLUS999,,,0,0,1,50,84.56,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:13:711,DRUPLUS999,,,1,0,1,50,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:15:711,DRUPLUS999,,,0,0,1,50,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:17:711,DRUPLUS999,,,1,0,1,50,84.56,83.12,337.7,,,,,,,600,0,0
24-Jun-24 19:28:19:711,DRUPLUS999,,,0,0,1,50,84.56,83.12,337.6,,,,,,,600,0,0
24-Jun-24 19:28:21:711,DRUPLUS999,,,1,0,1,50,84.56,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:23:711,DRUPLUS999,,,0,0,1,50,84.74,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:25:711,DRUPLUS999,,,1,0,1,50,84.74,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:27:711,DRUPLUS999,,,0,0,1,50,84.92,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:29:711,DRUPLUS999,,,1,0,1,50,84.92,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:31:711,DRUPLUS999,,,0,0,1,50,85.28,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:33:711,DRUPLUS999,,,1,0,1,50,85.28,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:35:711,DRUPLUS999,,,0,0,1,50,85.64,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:37:711,DRUPLUS999,,,1,0,1,50,85.82,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:39:711,DRUPLUS999,,,0,0,1,50,86.18,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:41:711,DRUPLUS999,,,1,0,1,50,86.54,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:28:43:713,DRUPLUS999,,,0,0,1,50,86.9,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:45:711,DRUPLUS999,,,1,0,1,50,87.44,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:28:47:711,DRUPLUS999,,,0,0,1,50,87.8,83.48,337.7,,,,,,,600,0,0
24-Jun-24 19:28:49:711,DRUPLUS999,,,1,0,1,50,88.34,83.48,337.6,,,,,,,600,0,0
24-Jun-24 19:28:51:713,DRUPLUS999,,,0,0,1,50,88.7,83.48,337.7,,,,,,,600,0,0
24-Jun-24 19:28:53:713,DRUPLUS999,,,1,0,1,50,89.42,83.48,337.6,,,,,,,600,0,0
24-Jun-24 19:28:55:713,DRUPLUS999,,,0,0,1,50,89.96,83.48,337.7,,,,,,,600,0,0
24-Jun-24 19:28:57:714,DRUPLUS999,,,1,0,1,50,90.68,83.48,337.7,,,,,,,600,0,0
24-Jun-24 19:28:59:715,DRUPLUS999,,,0,0,1,50,91.04,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:29:01:714,DRUPLUS999,,,1,0,1,50,91.94,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:29:03:714,DRUPLUS999,,,0,0,1,50,92.48,83.3,337.7,,,,,,,600,0,0
24-Jun-24 19:29:05:715,DRUPLUS999,,,1,0,1,50,93.2,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:29:07:715,DRUPLUS999,,,0,0,1,50,93.74,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:29:09:716,DRUPLUS999,,,1,0,1,50,94.64,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:29:11:716,DRUPLUS999,,,0,0,1,50,95.18,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:29:13:717,DRUPLUS999,,,1,0,1,50,95.72,83.3,337.6,,,,,,,600,0,0
24-Jun-24 19:29:15:717,DRUPLUS999,,,0,0,1,50,96.62,83.3,337.6,,,,,,,600,0,0
