Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
26-Jul-24 12:43:09:210,DRUPLUS999,,,0,0,1,0,115.34,85.82,82.9,,,,,,,600,0,0
26-Jul-24 12:43:11:205,DRUPLUS999,,,0,0,1,0,115.16,85.82,82.9,,,,,,,600,0,0
26-Jul-24 12:43:13:209,DRUPLUS999,,,0,0,1,0,115.16,85.82,82.8,,,,,,,600,0,0
26-Jul-24 12:43:15:205,DRUPLUS999,,,0,0,1,0,114.98,85.82,82.7,,,,,,,600,0,0
26-Jul-24 12:43:17:209,DRUPLUS999,,,0,0,1,0,114.98,85.82,82.7,,,,,,,600,0,0
26-Jul-24 12:43:19:206,DRUPLUS999,,,0,0,1,0,114.8,85.82,82.6,,,,,,,600,0,0
26-Jul-24 12:43:21:211,DRUPLUS999,,,0,0,1,0,114.62,86,82.6,,,,,,,600,0,0
26-Jul-24 12:43:23:206,DRUPLUS999,,,0,0,1,0,114.44,86,82.5,,,,,,,600,0,0
26-Jul-24 12:43:25:205,DRUPLUS999,,,0,0,1,0,114.26,86,82.5,,,,,,,600,0,0
26-Jul-24 12:43:27:208,DRUPLUS999,,,0,0,1,0,114.08,86,82.5,,,,,,,600,0,0
26-Jul-24 12:43:29:206,DRUPLUS999,,,0,0,1,0,113.9,86,82.4,,,,,,,600,0,0
26-Jul-24 12:43:31:215,DRUPLUS999,,,0,0,1,0,113.72,86,82,,,,,,,600,0,0
26-Jul-24 12:43:33:207,DRUPLUS999,,,0,0,1,0,113.54,86.18,82.6,,,,,,,600,0,0
26-Jul-24 12:43:35:207,DRUPLUS999,,,0,0,1,0,113.36,86.18,80.2,,,,,,,600,0,0
26-Jul-24 12:43:37:207,DRUPLUS999,,,0,0,1,0,113,86.18,80.2,,,,,,,600,0,0
26-Jul-24 12:43:39:211,DRUPLUS999,,,0,0,1,0,112.82,86.36,80.2,,,,,,,600,0,0
