Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
26-Jul-24 18:22:15:964,DRUPLUS999,,,0,0,1,0,91.76,85.64,233.9,,,,,,,600,0,0
26-Jul-24 18:22:17:960,DRUPLUS999,,,0,0,1,50,91.58,85.64,234,,,,,,,600,0,0
26-Jul-24 18:22:19:969,DRUPLUS999,,,0,0,1,50,91.58,85.82,233.8,,,,,,,600,0,0
26-Jul-24 18:22:21:961,DRUPLUS999,,,1,0,1,50,91.58,85.82,233.8,,,,,,,600,0,0
26-Jul-24 18:22:23:966,DRUPLUS999,,,0,0,1,50,91.58,85.82,233.7,,,,,,,600,0,0
26-Jul-24 18:22:25:968,DRUPLUS999,,,1,0,1,50,91.58,85.82,233.7,,,,,,,600,0,0
26-Jul-24 18:22:27:963,DRUPLUS999,,,0,0,1,50,91.58,85.82,233.7,,,,,,,600,0,0
26-Jul-24 18:22:29:970,DRUPLUS999,,,1,0,1,50,91.58,85.82,233.7,,,,,,,600,0,0
26-Jul-24 18:22:31:963,DRUPLUS999,,,0,0,1,50,91.58,85.82,233.7,,,,,,,600,0,0
26-Jul-24 18:22:33:963,DRUPLUS999,,,1,0,1,50,91.58,85.82,233.8,,,,,,,600,0,0
26-Jul-24 18:22:35:964,DRUPLUS999,,,0,0,1,50,91.58,86,233.7,,,,,,,600,0,0
26-Jul-24 18:22:37:976,DRUPLUS999,,,1,0,1,50,91.58,86,233.7,,,,,,,600,0,0
26-Jul-24 18:22:39:973,DRUPLUS999,,,0,0,1,50,91.76,86,233.6,,,,,,,600,0,0
26-Jul-24 18:22:41:965,DRUPLUS999,,,1,0,1,50,91.76,86,233.6,,,,,,,600,0,0
26-Jul-24 18:22:43:965,DRUPLUS999,,,0,0,1,50,91.94,86,233.6,,,,,,,600,0,0
26-Jul-24 18:22:45:966,DRUPLUS999,,,1,0,1,50,92.12,86,233.6,,,,,,,600,0,0
26-Jul-24 18:22:47:970,DRUPLUS999,,,0,0,1,50,92.3,86,233.6,,,,,,,600,0,0
26-Jul-24 18:22:49:965,DRUPLUS999,,,1,0,1,50,92.48,86,233.5,,,,,,,600,0,0
26-Jul-24 18:22:51:967,DRUPLUS999,,,0,0,1,50,92.84,86,233.5,,,,,,,600,0,0
26-Jul-24 18:22:53:970,DRUPLUS999,,,1,0,1,50,93.2,86,233.5,,,,,,,600,0,0
26-Jul-24 18:22:55:966,DRUPLUS999,,,0,0,1,50,93.56,86,233.5,,,,,,,600,0,0
26-Jul-24 18:22:57:966,DRUPLUS999,,,1,0,1,50,93.92,86,233.5,,,,,,,600,0,0
26-Jul-24 18:22:59:965,DRUPLUS999,,,0,0,1,50,94.46,86,233.4,,,,,,,600,0,0
26-Jul-24 18:23:01:966,DRUPLUS999,,,1,0,1,50,94.82,86,233.4,,,,,,,600,0,0
26-Jul-24 18:23:03:965,DRUPLUS999,,,0,0,1,50,95.54,86,233.4,,,,,,,600,0,0
26-Jul-24 18:23:05:973,DRUPLUS999,,,1,0,1,50,95.9,86,233.3,,,,,,,600,0,0
26-Jul-24 18:23:07:974,DRUPLUS999,,,0,0,1,50,96.62,86,233.2,,,,,,,600,0,0
26-Jul-24 18:23:09:966,DRUPLUS999,,,1,0,1,50,96.98,86,233.2,,,,,,,600,0,0
26-Jul-24 18:23:11:974,DRUPLUS999,,,0,0,1,50,97.7,86,233.1,,,,,,,600,0,0
26-Jul-24 18:23:13:971,DRUPLUS999,,,1,0,1,50,98.24,86.18,233,,,,,,,600,0,0
26-Jul-24 18:23:15:975,DRUPLUS999,,,0,0,1,50,98.78,86.18,232.8,,,,,,,600,0,0
26-Jul-24 18:23:17:973,DRUPLUS999,,,1,0,1,50,99.68,86.18,232.5,,,,,,,600,0,0
26-Jul-24 18:23:19:974,DRUPLUS999,,,0,0,1,50,100.22,86.36,232.4,,,,,,,600,0,0
26-Jul-24 18:23:21:971,DRUPLUS999,,,1,0,1,50,100.94,86.36,232.2,,,,,,,600,0,0
26-Jul-24 18:23:23:968,DRUPLUS999,,,0,0,1,50,101.48,86.54,232.1,,,,,,,600,0,0
26-Jul-24 18:23:25:966,DRUPLUS999,,,1,0,1,50,102.38,86.54,232.1,,,,,,,600,0,0
26-Jul-24 18:23:27:967,DRUPLUS999,,,0,0,1,50,102.92,86.54,232,,,,,,,600,0,0
26-Jul-24 18:23:29:966,DRUPLUS999,,,1,0,1,50,103.82,86.54,232,,,,,,,600,0,0
26-Jul-24 18:23:31:966,DRUPLUS999,,,0,0,1,50,104.36,86.54,231.7,,,,,,,600,0,0
26-Jul-24 18:23:33:971,DRUPLUS999,,,1,0,1,50,105.26,86.54,231.6,,,,,,,600,0,0
26-Jul-24 18:23:35:971,DRUPLUS999,,,0,0,1,50,105.98,86.72,231.5,,,,,,,600,0,0
26-Jul-24 18:23:37:967,DRUPLUS999,,,1,0,1,50,106.88,86.9,231.4,,,,,,,600,0,0
26-Jul-24 18:23:39:967,DRUPLUS999,,,0,0,1,50,107.42,86.9,231.4,,,,,,,600,0,0
26-Jul-24 18:23:41:968,DRUPLUS999,,,1,0,1,50,108.32,87.08,231.4,,,,,,,600,0,0
26-Jul-24 18:23:43:967,DRUPLUS999,,,0,0,1,50,109.04,87.08,231.2,,,,,,,600,0,0
26-Jul-24 18:23:45:975,DRUPLUS999,,,1,0,1,50,109.94,87.08,231,,,,,,,600,0,0
26-Jul-24 18:23:47:969,DRUPLUS999,,,0,0,1,50,110.48,87.26,230.8,,,,,,,600,0,0
26-Jul-24 18:23:49:969,DRUPLUS999,,,1,0,1,50,111.2,87.44,230,,,,,,,600,0,0
26-Jul-24 18:23:51:971,DRUPLUS999,,,0,0,1,50,112.1,87.44,226.9,,,,,,,600,0,0
26-Jul-24 18:23:53:977,DRUPLUS999,,,1,0,1,50,112.64,87.44,226.8,,,,,,,600,0,0
26-Jul-24 18:23:55:970,DRUPLUS999,,,0,0,1,50,113.54,87.44,226.8,,,,,,,600,0,0
26-Jul-24 18:23:57:976,DRUPLUS999,,,1,0,1,50,114.44,87.62,226.7,,,,,,,600,0,0
26-Jul-24 18:23:59:971,DRUPLUS999,,,0,0,1,50,115.16,87.8,226.7,,,,,,,600,0,0
26-Jul-24 18:24:01:971,DRUPLUS999,,,1,0,1,50,116.06,87.8,226.6,,,,,,,600,0,0
26-Jul-24 18:24:03:979,DRUPLUS999,,,0,0,1,50,116.6,87.8,226.6,,,,,,,600,0,0
26-Jul-24 18:24:05:971,DRUPLUS999,,,1,0,1,50,117.5,87.98,226.4,,,,,,,600,0,0
26-Jul-24 18:24:07:971,DRUPLUS999,,,0,0,1,50,118.04,87.98,226.4,,,,,,,600,0,0
26-Jul-24 18:24:09:979,DRUPLUS999,,,1,0,1,50,118.76,87.98,226.3,,,,,,,600,0,0
26-Jul-24 18:24:11:979,DRUPLUS999,,,0,0,1,50,119.48,88.16,225.9,,,,,,,600,0,0
