Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOnTm(min),GelHtrOffTm(min)
30-Jul-24 18:53:18:560,DRUPLUS999,,,0,0,0,0,194.54,88.16,0,,,,,,,0,0,0
30-Jul-24 18:53:20:562,DRUPLUS999,,,0,0,0,0,194.54,88.16,0,,,,,,,0,0,0
30-Jul-24 18:53:22:558,DRUPLUS999,,,0,0,0,0,194.54,88.34,0,,,,,,,0,0,0
30-Jul-24 18:53:24:563,DRUPLUS999,,,0,0,0,0,194.54,88.34,0,,,,,,,0,0,0
30-Jul-24 18:53:26:561,DRUPLUS999,,,0,0,0,0,194.36,88.34,0,,,,,,,0,0,0
30-Jul-24 18:53:28:559,DRUPLUS999,,,0,0,1,0,194,88.34,83.8,,,,,,,600,0,0
30-Jul-24 18:53:30:563,DRUPLUS999,,,0,0,1,0,193.64,87.44,106.2,,,,,,,600,0,0
30-Jul-24 18:53:32:556,DRUPLUS999,,,0,0,0,0,193.28,86,0,,,,,,,0,0,0
30-Jul-24 18:53:34:566,DRUPLUS999,,,0,0,0,0,192.74,84.2,0,,,,,,,0,0,0
30-Jul-24 18:53:36:563,DRUPLUS999,,,0,0,0,0,192.2,82.4,0,,,,,,,0,0,0
30-Jul-24 18:53:38:565,DRUPLUS999,,,0,0,0,0,191.48,80.6,0,,,,,,,0,0,0
30-Jul-24 18:53:40:567,DRUPLUS999,,,0,0,0,0,190.94,79.7,0,,,,,,,0,0,0
30-Jul-24 18:53:42:563,DRUPLUS999,,,0,0,0,0,190.04,79.16,0,,,,,,,0,0,0
30-Jul-24 18:53:44:559,DRUPLUS999,,,0,0,0,0,189.32,78.98,0,,,,,,,0,0,0
30-Jul-24 18:53:46:563,DRUPLUS999,,,0,0,0,0,188.42,78.98,0,,,,,,,0,0,0
30-Jul-24 18:53:48:565,DRUPLUS999,,,0,0,1,0,187.7,78.98,106.4,,,,,,,600,0,0
30-Jul-24 18:53:50:563,DRUPLUS999,,,0,0,1,0,186.8,78.98,105.4,,,,,,,600,0,0
30-Jul-24 18:53:52:557,DRUPLUS999,,,0,0,1,0,186.08,79.34,102.7,,,,,,,600,0,0
30-Jul-24 18:53:54:557,DRUPLUS999,,,0,0,1,0,185.18,79.7,101.2,,,,,,,600,0,0
30-Jul-24 18:53:56:557,DRUPLUS999,,,0,0,1,0,184.46,80.42,99.1,,,,,,,600,0,0
30-Jul-24 18:53:58:563,DRUPLUS999,,,0,0,1,0,183.56,81.32,99.1,,,,,,,600,0,0
30-Jul-24 18:54:00:560,DRUPLUS999,,,0,0,1,0,182.48,82.04,98.8,,,,,,,600,0,0
30-Jul-24 18:54:02:562,DRUPLUS999,,,0,0,1,0,181.76,82.94,99.5,,,,,,,600,0,0
30-Jul-24 18:54:04:559,DRUPLUS999,,,0,0,1,0,180.5,83.48,98.1,,,,,,,600,0,0
30-Jul-24 18:54:06:558,DRUPLUS999,,,0,0,1,0,179.78,84.02,97.7,,,,,,,600,0,0
30-Jul-24 18:54:08:560,DRUPLUS999,,,0,0,1,0,178.52,84.56,97.5,,,,,,,600,0,0
30-Jul-24 18:54:10:567,DRUPLUS999,,,0,0,1,0,177.62,84.92,97.8,,,,,,,600,0,0
30-Jul-24 18:54:12:569,DRUPLUS999,,,0,0,1,0,176.54,85.46,97.9,,,,,,,600,0,0
30-Jul-24 18:54:14:560,DRUPLUS999,,,0,0,1,0,175.64,85.82,97,,,,,,,600,0,0
30-Jul-24 18:54:16:572,DRUPLUS999,,,0,0,1,45,174.38,86,97.1,,,,,,,600,0,0
30-Jul-24 18:54:18:562,DRUPLUS999,,,0,0,0,22,173.66,86.54,112.6,,,,,,,0,0,0
30-Jul-24 18:54:20:570,DRUPLUS999,,,0,0,0,42,172.4,86.9,0,,,,,,,0,0,0
30-Jul-24 18:54:22:561,DRUPLUS999,,,0,0,0,80,171.68,87.26,0,,,,,,,0,0,0
30-Jul-24 18:54:24:568,DRUPLUS999,,,1,0,0,100,170.42,87.44,0,,,,,,,0,0,0
30-Jul-24 18:54:26:561,DRUPLUS999,,,0,0,0,100,169.7,87.8,0,,,,,,,0,0,0
30-Jul-24 18:54:28:568,DRUPLUS999,,,1,0,0,100,168.98,87.98,0,,,,,,,0,0,0
30-Jul-24 18:54:30:570,DRUPLUS999,,,1,0,0,100,167.9,88.16,0,,,,,,,0,0,0
30-Jul-24 18:54:32:562,DRUPLUS999,,,1,0,0,100,167.18,88.16,0,,,,,,,0,0,0
30-Jul-24 18:54:34:561,DRUPLUS999,,,1,0,0,100,166.1,88.34,0,,,,,,,0,0,0
30-Jul-24 18:54:36:570,DRUPLUS999,,,1,0,0,100,165.56,88.34,0,,,,,,,0,0,0
30-Jul-24 18:54:38:562,DRUPLUS999,,,1,0,0,100,164.66,88.34,0,,,,,,,0,0,0
30-Jul-24 18:54:40:563,DRUPLUS999,,,1,0,0,100,164.3,88.34,0,,,,,,,0,0,0
30-Jul-24 18:54:42:563,DRUPLUS999,,,1,0,0,100,163.58,88.34,0,,,,,,,0,0,0
30-Jul-24 18:54:44:563,DRUPLUS999,,,1,0,0,100,163.22,88.34,0,,,,,,,0,0,0
30-Jul-24 18:54:46:563,DRUPLUS999,,,1,0,0,100,162.86,88.16,0,,,,,,,0,0,0
30-Jul-24 18:54:48:565,DRUPLUS999,,,1,0,0,100,162.68,88.16,0,,,,,,,0,0,0
30-Jul-24 18:54:50:566,DRUPLUS999,,,1,0,0,100,162.5,88.16,0,,,,,,,0,0,0
30-Jul-24 18:54:52:563,DRUPLUS999,,,1,0,0,100,162.5,88.16,0,,,,,,,0,0,0
30-Jul-24 18:54:54:572,DRUPLUS999,,,1,0,0,100,162.68,88.16,0,,,,,,,0,0,0
30-Jul-24 18:54:56:573,DRUPLUS999,,,1,0,0,100,162.68,88.16,0,,,,,,,0,0,0
30-Jul-24 18:54:58:567,DRUPLUS999,,,1,0,0,100,163.04,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:00:570,DRUPLUS999,,,1,0,0,100,163.4,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:02:567,DRUPLUS999,,,1,0,0,100,163.76,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:04:575,DRUPLUS999,,,1,0,0,100,164.48,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:06:567,DRUPLUS999,,,1,0,0,100,164.84,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:08:566,DRUPLUS999,,,1,0,0,100,165.74,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:10:577,DRUPLUS999,,,1,0,0,100,166.28,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:12:567,DRUPLUS999,,,1,0,0,100,167.36,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:14:573,DRUPLUS999,,,1,0,0,100,168.08,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:16:567,DRUPLUS999,,,1,0,0,100,169.16,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:18:571,DRUPLUS999,,,1,0,0,100,170.06,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:20:576,DRUPLUS999,,,1,0,0,100,171.32,88.34,0,,,,,,,0,0,0
30-Jul-24 18:55:22:569,DRUPLUS999,,,1,0,0,100,172.22,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:24:569,DRUPLUS999,,,1,0,0,100,173.48,88.16,0,,,,,,,0,0,0
30-Jul-24 18:55:26:582,DRUPLUS999,,,1,0,0,100,174.56,88.34,0,,,,,,,0,0,0
