Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOnTm(min),GelHtrOffTm(min)
31-Jul-24 20:41:43:072,DRUPLUS999,,,0,0,1,0,93.38,93.56,114.3,,,,,,,600,0,0
31-Jul-24 20:41:45:072,DRUPLUS999,,,0,0,1,50,93.38,93.56,114.2,,,,,,,600,0,0
31-Jul-24 20:41:47:073,DRUPLUS999,,,0,0,1,50,93.38,93.56,114.1,,,,,,,600,0,0
31-Jul-24 20:41:49:073,DRUPLUS999,,,1,0,1,50,93.38,93.56,114.3,,,,,,,600,0,0
31-Jul-24 20:41:51:078,DRUPLUS999,,,0,0,1,50,93.38,93.56,114.3,,,,,,,600,0,0
31-Jul-24 20:41:53:077,DRUPLUS999,,,1,0,1,50,93.38,93.56,114.3,,,,,,,600,0,0
31-Jul-24 20:41:55:075,DRUPLUS999,,,0,0,1,50,93.38,93.56,114.2,,,,,,,600,0,0
31-Jul-24 20:41:57:073,DRUPLUS999,,,1,0,1,50,93.38,93.38,114.1,,,,,,,600,0,0
31-Jul-24 20:41:59:073,DRUPLUS999,,,0,0,1,50,93.38,93.56,114.5,,,,,,,600,0,0
31-Jul-24 20:42:01:075,DRUPLUS999,,,1,0,1,50,93.38,93.56,114.4,,,,,,,600,0,0
31-Jul-24 20:42:03:077,DRUPLUS999,,,0,0,1,50,93.38,93.56,114.3,,,,,,,600,0,0
31-Jul-24 20:42:05:076,DRUPLUS999,,,1,0,1,50,93.56,93.56,114.2,,,,,,,600,0,0
31-Jul-24 20:42:07:082,DRUPLUS999,,,0,0,1,50,93.56,93.56,114.2,,,,,,,600,0,0
31-Jul-24 20:42:09:077,DRUPLUS999,,,1,0,1,50,93.74,93.56,114.4,,,,,,,600,0,0
31-Jul-24 20:42:11:077,DRUPLUS999,,,0,0,1,50,93.92,93.56,114.3,,,,,,,600,0,0
31-Jul-24 20:42:13:078,DRUPLUS999,,,1,0,1,50,94.1,93.56,114.1,,,,,,,600,0,0
31-Jul-24 20:42:15:078,DRUPLUS999,,,0,0,1,0,94.28,93.56,113.9,,,,,,,600,0,0
31-Jul-24 20:42:17:078,DRUPLUS999,,,0,0,1,0,94.64,93.56,114.2,,,,,,,600,0,0
31-Jul-24 20:42:19:085,DRUPLUS999,,,0,0,1,0,94.82,93.74,114.1,,,,,,,600,0,0
31-Jul-24 20:42:21:089,DRUPLUS999,,,0,0,1,0,95.36,93.74,114,,,,,,,600,0,0
31-Jul-24 20:42:23:079,DRUPLUS999,,,0,0,1,0,95.54,93.74,113.9,,,,,,,600,0,0
31-Jul-24 20:42:25:078,DRUPLUS999,,,0,0,1,0,96.08,93.74,113.9,,,,,,,600,0,0
31-Jul-24 20:42:27:078,DRUPLUS999,,,0,0,1,0,96.44,93.74,114,,,,,,,600,0,0
31-Jul-24 20:42:29:080,DRUPLUS999,,,0,0,1,0,96.98,93.74,113.9,,,,,,,600,0,0
31-Jul-24 20:42:31:081,DRUPLUS999,,,0,0,1,0,97.34,93.74,113.8,,,,,,,600,0,0
31-Jul-24 20:42:33:081,DRUPLUS999,,,0,0,1,0,97.88,93.92,113.7,,,,,,,600,0,0
31-Jul-24 20:42:35:081,DRUPLUS999,,,0,0,1,0,98.24,93.92,113.6,,,,,,,600,0,0
31-Jul-24 20:42:37:083,DRUPLUS999,,,0,0,1,0,98.78,93.92,113.7,,,,,,,600,0,0
31-Jul-24 20:42:39:083,DRUPLUS999,,,0,0,1,0,99.14,93.92,113.6,,,,,,,600,0,0
31-Jul-24 20:42:41:079,DRUPLUS999,,,0,0,1,0,99.68,93.92,113.6,,,,,,,600,0,0
31-Jul-24 20:42:43:080,DRUPLUS999,,,0,0,1,0,100.04,94.1,113.6,,,,,,,600,0,0
31-Jul-24 20:42:45:085,DRUPLUS999,,,0,0,1,0,100.22,94.1,113.6,,,,,,,600,0,0
31-Jul-24 20:42:47:082,DRUPLUS999,,,0,0,1,0,100.76,94.28,113.6,,,,,,,600,0,0
31-Jul-24 20:42:49:084,DRUPLUS999,,,0,0,1,0,100.94,94.28,113.6,,,,,,,600,0,0
31-Jul-24 20:42:51:083,DRUPLUS999,,,0,0,1,0,101.3,94.46,113.6,,,,,,,600,0,0
31-Jul-24 20:42:53:081,DRUPLUS999,,,0,0,1,0,101.48,94.46,113.6,,,,,,,600,0,0
31-Jul-24 20:42:55:088,DRUPLUS999,,,0,0,1,0,101.66,94.46,113.6,,,,,,,600,0,0
31-Jul-24 20:42:57:081,DRUPLUS999,,,0,0,1,0,102.02,94.46,113.5,,,,,,,600,0,0
