Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
17-Jun-24 21:21:53:058,DRUPLUS999,,,0,0,1,0,107.06,97.16,1.1,,,,,,,600,0,0
17-Jun-24 21:21:55:058,DRUPLUS999,,,0,0,1,0,107.06,97.16,1.1,,,,,,,600,0,0
17-Jun-24 21:21:57:058,DRUPLUS999,,,0,0,1,0,106.88,97.16,1.1,,,,,,,600,0,0
17-Jun-24 21:21:59:058,DRUPLUS999,,,0,0,1,0,106.88,97.16,1.2,,,,,,,600,0,0
17-Jun-24 21:22:01:059,DRUPLUS999,,,0,0,1,0,106.88,97.34,1.1,,,,,,,600,0,0
17-Jun-24 21:22:03:058,DRUPLUS999,,,0,0,1,0,106.88,97.34,1.1,,,,,,,600,0,0
17-Jun-24 21:22:05:058,DRUPLUS999,,,0,0,1,0,106.7,97.52,1.2,,,,,,,600,0,0
17-Jun-24 21:22:07:058,DRUPLUS999,,,0,0,1,0,106.7,97.52,1.1,,,,,,,600,0,0
17-Jun-24 21:22:09:059,DRUPLUS999,,,0,0,1,0,106.7,97.52,1.1,,,,,,,600,0,0
17-Jun-24 21:22:11:058,DRUPLUS999,,,0,0,1,0,106.52,97.52,1.1,,,,,,,600,0,0
17-Jun-24 21:22:13:058,DRUPLUS999,,,0,0,1,0,106.52,97.7,1.1,,,,,,,600,0,0
17-Jun-24 21:22:15:058,DRUPLUS999,,,0,0,1,0,106.52,97.7,1.1,,,,,,,600,0,0
17-Jun-24 21:22:17:058,DRUPLUS999,,,0,0,1,0,106.52,97.7,1.2,,,,,,,600,0,0
17-Jun-24 21:22:19:058,DRUPLUS999,,,0,0,1,5,106.34,97.88,1.1,,,,,,,600,0,0
17-Jun-24 21:22:21:058,DRUPLUS999,,,0,0,1,5,106.34,97.88,1.1,,,,,,,600,0,0
17-Jun-24 21:22:23:060,DRUPLUS999,,,0,0,1,5,106.34,97.88,1.2,,,,,,,600,0,0
17-Jun-24 21:22:25:058,DRUPLUS999,,,0,0,1,5,106.16,98.06,1.1,,,,,,,600,0,0
17-Jun-24 21:22:27:058,DRUPLUS999,,,0,0,1,5,106.16,98.06,1.2,,,,,,,600,0,0
17-Jun-24 21:22:29:059,DRUPLUS999,,,0,0,1,5,106.16,98.06,1.1,,,,,,,600,0,0
17-Jun-24 21:22:31:058,DRUPLUS999,,,0,0,1,5,106.16,98.06,1.1,,,,,,,600,0,0
17-Jun-24 21:22:33:058,DRUPLUS999,,,0,0,1,5,105.98,98.06,1.1,,,,,,,600,0,0
17-Jun-24 21:22:35:059,DRUPLUS999,,,0,0,1,5,105.98,98.06,1.1,,,,,,,600,0,0
17-Jun-24 21:22:37:060,DRUPLUS999,,,0,0,1,5,105.98,98.24,1.1,,,,,,,600,0,0
17-Jun-24 21:22:39:060,DRUPLUS999,,,0,0,1,5,105.98,98.24,1.1,,,,,,,600,0,0
17-Jun-24 21:22:41:060,DRUPLUS999,,,0,0,1,5,105.8,98.24,1.2,,,,,,,600,0,0
17-Jun-24 21:22:43:060,DRUPLUS999,,,0,0,1,5,105.8,98.42,1.1,,,,,,,600,0,0
17-Jun-24 21:22:45:060,DRUPLUS999,,,0,0,1,5,105.8,98.42,1.1,,,,,,,600,0,0
17-Jun-24 21:22:47:060,DRUPLUS999,,,0,0,1,5,105.8,98.42,1.1,,,,,,,600,0,0
17-Jun-24 21:22:49:061,DRUPLUS999,,,0,0,1,5,105.8,98.6,1.1,,,,,,,600,0,0
17-Jun-24 21:22:51:062,DRUPLUS999,,,0,0,1,5,105.8,98.6,1.1,,,,,,,600,0,0
17-Jun-24 21:22:53:062,DRUPLUS999,,,0,0,1,5,105.8,98.6,1.1,,,,,,,600,0,0
17-Jun-24 21:22:55:062,DRUPLUS999,,,0,0,1,5,105.8,98.6,1.1,,,,,,,600,0,0
17-Jun-24 21:22:57:062,DRUPLUS999,,,0,0,1,5,105.8,98.6,1.1,,,,,,,600,0,0
17-Jun-24 21:22:59:062,DRUPLUS999,,,0,0,1,5,105.8,98.78,1.2,,,,,,,600,0,0
17-Jun-24 21:23:01:062,DRUPLUS999,,,0,0,1,5,105.8,98.78,1.1,,,,,,,600,0,0
17-Jun-24 21:23:03:062,DRUPLUS999,,,0,0,1,5,105.8,98.78,1.1,,,,,,,600,0,0
17-Jun-24 21:23:05:062,DRUPLUS999,,,0,0,1,5,105.8,98.78,1.1,,,,,,,600,0,0
17-Jun-24 21:23:07:063,DRUPLUS999,,,0,0,1,5,105.8,98.96,1.1,,,,,,,600,0,0
17-Jun-24 21:23:09:062,DRUPLUS999,,,0,0,1,5,105.8,98.96,1.1,,,,,,,600,0,0
17-Jun-24 21:23:11:063,DRUPLUS999,,,0,0,1,5,105.8,98.96,1.1,,,,,,,600,0,0
17-Jun-24 21:23:13:063,DRUPLUS999,,,0,0,1,5,105.8,99.14,1.2,,,,,,,600,0,0
17-Jun-24 21:23:15:063,DRUPLUS999,,,0,0,1,5,105.8,99.14,1.1,,,,,,,600,0,0
17-Jun-24 21:23:17:063,DRUPLUS999,,,0,0,1,5,105.8,99.14,1.1,,,,,,,600,0,0
17-Jun-24 21:23:19:063,DRUPLUS999,,,0,0,1,5,105.8,99.14,1.1,,,,,,,600,0,0
17-Jun-24 21:23:21:063,DRUPLUS999,,,0,0,1,5,105.98,99.14,1.2,,,,,,,600,0,0
17-Jun-24 21:23:23:063,DRUPLUS999,,,0,0,1,5,105.98,99.14,1.2,,,,,,,600,0,0
17-Jun-24 21:23:25:063,DRUPLUS999,,,0,0,1,5,105.98,99.14,1.1,,,,,,,600,0,0
17-Jun-24 21:23:27:063,DRUPLUS999,,,0,0,1,5,105.98,99.14,1.1,,,,,,,600,0,0
17-Jun-24 21:23:29:063,DRUPLUS999,,,0,0,1,5,105.98,99.14,1.1,,,,,,,600,0,0
17-Jun-24 21:23:31:063,DRUPLUS999,,,0,0,1,5,105.98,99.14,1.1,,,,,,,600,0,0
17-Jun-24 21:23:33:063,DRUPLUS999,,,0,0,1,5,106.16,99.14,1.2,,,,,,,600,0,0
17-Jun-24 21:23:35:063,DRUPLUS999,,,0,0,1,5,106.16,99.32,1.1,,,,,,,600,0,0
17-Jun-24 21:23:37:063,DRUPLUS999,,,0,0,1,5,106.16,99.32,1.1,,,,,,,600,0,0
17-Jun-24 21:23:39:063,DRUPLUS999,,,0,0,1,5,106.16,99.32,1.1,,,,,,,600,0,0
17-Jun-24 21:23:41:063,DRUPLUS999,,,0,0,1,5,106.16,99.32,1.2,,,,,,,600,0,0
17-Jun-24 21:23:43:063,DRUPLUS999,,,0,0,1,5,106.34,99.32,1.2,,,,,,,600,0,0
17-Jun-24 21:23:45:063,DRUPLUS999,,,0,0,1,5,106.34,99.5,1.2,,,,,,,600,0,0
17-Jun-24 21:23:47:062,DRUPLUS999,,,0,0,1,5,106.34,99.5,1.2,,,,,,,600,0,0
17-Jun-24 21:23:49:063,DRUPLUS999,,,0,0,1,5,106.34,99.5,1.2,,,,,,,600,0,0
