Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
20-Jun-24 14:35:50:452,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:35:52:452,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:35:54:453,DRUPLUS999,,,0,0,1,0,80.6,80.78,1.1,,,,,,,600,0,0
20-Jun-24 14:35:56:454,DRUPLUS999,,,0,0,1,0,80.6,80.78,1.1,,,,,,,600,0,0
20-Jun-24 14:35:58:453,DRUPLUS999,,,0,0,1,0,80.6,80.78,1.1,,,,,,,600,0,0
20-Jun-24 14:36:00:453,DRUPLUS999,,,0,0,1,0,80.6,80.78,1.1,,,,,,,600,0,0
20-Jun-24 14:36:02:453,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:04:454,DRUPLUS999,,,0,0,1,0,80.6,80.6,1,,,,,,,600,0,0
20-Jun-24 14:36:06:454,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:08:455,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:10:454,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:12:455,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:14:454,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:16:454,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:18:455,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:20:456,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:22:456,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:24:456,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:26:456,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:28:456,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:30:456,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:32:456,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:34:456,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:36:457,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:38:457,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:40:457,DRUPLUS999,,,0,0,1,0,80.6,80.6,1.1,,,,,,,600,0,0
20-Jun-24 14:36:42:457,DRUPLUS999,,,0,0,1,0,80.6,80.42,1.1,,,,,,,600,0,0
20-Jun-24 14:36:44:458,DRUPLUS999,,,0,0,1,0,80.6,80.42,1.1,,,,,,,600,0,0
