Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
24-Jun-24 15:40:50:513,DRUPLUS999,,,0,0,1,0,81.14,80.96,0.8,,,,,,,600,0,0
24-Jun-24 15:40:52:513,DRUPLUS999,,,0,0,1,0,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:40:54:514,DRUPLUS999,,,0,0,1,0,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:40:56:514,DRUPLUS999,,,0,0,1,0,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:40:58:513,DRUPLUS999,,,0,0,1,0,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:00:513,DRUPLUS999,,,0,0,1,0,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:02:513,DRUPLUS999,,,0,0,1,0,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:04:513,DRUPLUS999,,,0,0,1,0,81.14,81.14,1,,,,,,,600,0,0
24-Jun-24 15:41:06:514,DRUPLUS999,,,0,0,1,0,81.14,81.14,1,,,,,,,600,0,0
24-Jun-24 15:41:08:515,DRUPLUS999,,,0,0,1,0,81.14,81.14,1,,,,,,,600,0,0
24-Jun-24 15:41:10:514,DRUPLUS999,,,0,0,1,0,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:12:514,DRUPLUS999,,,0,0,1,0,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:14:514,DRUPLUS999,,,0,0,1,75,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:16:515,DRUPLUS999,,,1,0,1,75,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:18:515,DRUPLUS999,,,1,0,1,75,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:20:514,DRUPLUS999,,,1,0,1,75,81.14,80.96,0.8,,,,,,,600,0,0
24-Jun-24 15:41:22:515,DRUPLUS999,,,1,0,1,75,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:24:515,DRUPLUS999,,,1,0,1,75,81.14,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:26:516,DRUPLUS999,,,1,0,1,75,81.14,81.14,1,,,,,,,600,0,0
24-Jun-24 15:41:28:516,DRUPLUS999,,,1,0,1,75,81.14,81.14,1,,,,,,,600,0,0
24-Jun-24 15:41:30:517,DRUPLUS999,,,1,0,1,75,81.32,80.96,0.8,,,,,,,600,0,0
24-Jun-24 15:41:32:516,DRUPLUS999,,,1,0,1,75,81.32,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:34:517,DRUPLUS999,,,1,0,1,75,81.5,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:36:517,DRUPLUS999,,,1,0,1,75,81.68,80.96,0.8,,,,,,,600,0,0
24-Jun-24 15:41:38:517,DRUPLUS999,,,1,0,1,75,81.86,80.96,1,,,,,,,600,0,0
24-Jun-24 15:41:40:517,DRUPLUS999,,,1,0,1,75,82.22,81.14,1,,,,,,,600,0,0
24-Jun-24 15:41:42:517,DRUPLUS999,,,1,0,1,75,82.4,81.14,1,,,,,,,600,0,0
24-Jun-24 15:41:44:517,DRUPLUS999,,,1,0,1,75,82.94,81.14,1,,,,,,,600,0,0
24-Jun-24 15:41:46:517,DRUPLUS999,,,1,0,1,75,83.3,81.14,1,,,,,,,600,0,0
24-Jun-24 15:41:48:517,DRUPLUS999,,,1,0,1,75,84.02,81.14,1,,,,,,,600,0,0
24-Jun-24 15:41:50:517,DRUPLUS999,,,1,0,1,75,84.38,81.32,1,,,,,,,600,0,0
24-Jun-24 15:41:52:517,DRUPLUS999,,,1,0,1,75,85.1,81.32,0.8,,,,,,,600,0,0
24-Jun-24 15:41:54:517,DRUPLUS999,,,1,0,1,75,85.64,81.5,1,,,,,,,600,0,0
24-Jun-24 15:41:56:519,DRUPLUS999,,,1,0,1,75,86.18,81.5,0.8,,,,,,,600,0,0
24-Jun-24 15:41:58:520,DRUPLUS999,,,1,0,1,75,87.08,81.68,1,,,,,,,600,0,0
24-Jun-24 15:42:00:519,DRUPLUS999,,,1,0,1,75,87.8,81.68,1,,,,,,,600,0,0
24-Jun-24 15:42:02:519,DRUPLUS999,,,1,0,1,75,88.88,81.68,1,,,,,,,600,0,0
24-Jun-24 15:42:04:519,DRUPLUS999,,,1,0,1,75,89.42,81.86,1,,,,,,,600,0,0
24-Jun-24 15:42:06:520,DRUPLUS999,,,1,0,1,75,90.5,81.86,1,,,,,,,600,0,0
24-Jun-24 15:42:08:520,DRUPLUS999,,,1,0,1,75,91.4,82.04,1,,,,,,,600,0,0
24-Jun-24 15:42:10:519,DRUPLUS999,,,1,0,1,75,92.48,82.22,1,,,,,,,600,0,0
24-Jun-24 15:42:12:519,DRUPLUS999,,,1,0,1,75,93.2,82.22,1,,,,,,,600,0,0
24-Jun-24 15:42:14:520,DRUPLUS999,,,1,0,1,75,94.46,82.4,1,,,,,,,600,0,0
24-Jun-24 15:42:16:519,DRUPLUS999,,,1,0,1,75,95.36,82.58,1,,,,,,,600,0,0
24-Jun-24 15:42:18:519,DRUPLUS999,,,1,0,1,75,96.62,82.58,1,,,,,,,600,0,0
24-Jun-24 15:42:20:519,DRUPLUS999,,,1,0,1,75,97.52,82.76,1,,,,,,,600,0,0
24-Jun-24 15:42:22:520,DRUPLUS999,,,1,0,1,75,98.78,82.94,0.8,,,,,,,600,0,0
24-Jun-24 15:42:24:520,DRUPLUS999,,,1,0,1,75,99.5,82.94,1,,,,,,,600,0,0
