Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
02-Jul-24 19:52:02:652,DRUPLUS999,,,0,0,1,0,108.68,107.6,1,,,,,,,600,0,0
02-Jul-24 19:52:04:652,DRUPLUS999,,,0,0,1,0,108.68,107.6,1,,,,,,,600,0,0
02-Jul-24 19:52:06:654,DRUPLUS999,,,0,0,1,0,108.68,107.6,1,,,,,,,600,0,0
02-Jul-24 19:52:08:652,DRUPLUS999,,,0,0,1,0,108.68,107.6,1,,,,,,,600,0,0
02-Jul-24 19:52:10:651,DRUPLUS999,,,0,0,1,0,108.68,107.6,1,,,,,,,600,0,0
02-Jul-24 19:52:12:652,DRUPLUS999,,,0,0,1,0,108.68,107.6,1,,,,,,,600,0,0
02-Jul-24 19:52:14:665,DRUPLUS999,,,0,0,1,0,108.68,107.6,1,,,,,,,600,0,0
02-Jul-24 19:52:16:658,DRUPLUS999,,,1,0,1,17,108.5,107.6,1,,,,,,,600,0,0
02-Jul-24 19:52:18:664,DRUPLUS999,,,0,0,1,17,108.5,107.6,1,,,,,,,600,0,0
02-Jul-24 19:52:20:665,DRUPLUS999,,,1,0,1,17,108.5,107.6,1,,,,,,,600,0,0
02-Jul-24 19:52:22:658,DRUPLUS999,,,0,0,1,17,108.5,107.42,1,,,,,,,600,0,0
02-Jul-24 19:52:24:658,DRUPLUS999,,,1,0,1,17,108.5,107.42,1,,,,,,,600,0,0
02-Jul-24 19:52:26:659,DRUPLUS999,,,0,0,1,17,108.5,107.42,1,,,,,,,600,0,0
02-Jul-24 19:52:28:662,DRUPLUS999,,,1,0,1,17,108.5,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:52:30:659,DRUPLUS999,,,0,0,1,17,108.5,107.42,1,,,,,,,600,0,0
02-Jul-24 19:52:32:659,DRUPLUS999,,,1,0,1,17,108.68,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:52:34:667,DRUPLUS999,,,0,0,1,17,108.68,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:52:36:670,DRUPLUS999,,,1,0,1,17,108.68,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:52:38:659,DRUPLUS999,,,0,0,1,17,108.68,107.42,0.7,,,,,,,600,0,0
02-Jul-24 19:52:40:670,DRUPLUS999,,,1,0,1,17,108.86,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:52:42:665,DRUPLUS999,,,0,0,1,17,108.86,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:52:44:663,DRUPLUS999,,,1,0,1,17,108.86,107.24,0.8,,,,,,,600,0,0
02-Jul-24 19:52:46:661,DRUPLUS999,,,0,0,1,17,109.04,107.42,0.7,,,,,,,600,0,0
02-Jul-24 19:52:48:660,DRUPLUS999,,,1,0,1,17,109.22,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:52:50:663,DRUPLUS999,,,0,0,1,17,109.22,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:52:52:663,DRUPLUS999,,,1,0,1,17,109.4,107.42,0.7,,,,,,,600,0,0
02-Jul-24 19:52:54:662,DRUPLUS999,,,0,0,1,17,109.58,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:52:56:662,DRUPLUS999,,,1,0,1,17,109.58,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:52:58:667,DRUPLUS999,,,0,0,1,17,109.94,107.42,0.7,,,,,,,600,0,0
02-Jul-24 19:53:00:671,DRUPLUS999,,,1,0,1,17,109.94,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:53:02:677,DRUPLUS999,,,0,0,1,17,110.12,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:53:04:669,DRUPLUS999,,,1,0,1,16,110.3,107.42,0.8,,,,,,,600,0,0
02-Jul-24 19:53:06:662,DRUPLUS999,,,0,0,1,16,110.66,107.24,0.8,,,,,,,600,0,0
