Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
26-Jul-24 16:20:21:198,DRUPLUS999,,,0,0,1,0,84.2,76.46,1.1,,,,,,,600,0,0
26-Jul-24 16:20:23:205,DRUPLUS999,,,0,0,1,0,84.2,76.64,1.1,,,,,,,600,0,0
26-Jul-24 16:20:25:198,DRUPLUS999,,,0,0,1,0,84.2,76.64,1.1,,,,,,,600,0,0
26-Jul-24 16:20:27:202,DRUPLUS999,,,0,0,1,0,84.02,76.82,1.1,,,,,,,600,0,0
26-Jul-24 16:20:29:202,DRUPLUS999,,,0,0,1,0,84.02,76.82,1.1,,,,,,,600,0,0
26-Jul-24 16:20:31:201,DRUPLUS999,,,0,0,1,0,84.02,76.82,1.1,,,,,,,600,0,0
26-Jul-24 16:20:33:201,DRUPLUS999,,,0,0,1,0,84.02,76.82,1.1,,,,,,,600,0,0
26-Jul-24 16:20:35:201,DRUPLUS999,,,0,0,1,0,84.02,77,1,,,,,,,600,0,0
26-Jul-24 16:20:37:204,DRUPLUS999,,,0,0,1,50,84.02,77,1.1,,,,,,,600,0,0
26-Jul-24 16:20:39:202,DRUPLUS999,,,1,0,1,50,83.84,77,1.1,,,,,,,600,0,0
26-Jul-24 16:20:41:202,DRUPLUS999,,,0,0,1,50,83.84,77,1.1,,,,,,,600,0,0
26-Jul-24 16:20:43:202,DRUPLUS999,,,1,0,1,50,83.84,77.18,1.1,,,,,,,600,0,0
26-Jul-24 16:20:45:202,DRUPLUS999,,,0,0,1,50,83.84,77.18,1.1,,,,,,,600,0,0
26-Jul-24 16:20:47:206,DRUPLUS999,,,1,0,1,50,83.84,77.36,1.1,,,,,,,600,0,0
26-Jul-24 16:20:49:204,DRUPLUS999,,,0,0,1,50,83.84,77.36,1.1,,,,,,,600,0,0
26-Jul-24 16:20:51:203,DRUPLUS999,,,1,0,1,50,83.84,77.36,1.1,,,,,,,600,0,0
26-Jul-24 16:20:53:204,DRUPLUS999,,,0,0,1,50,83.84,77.54,1,,,,,,,600,0,0
26-Jul-24 16:20:55:203,DRUPLUS999,,,1,0,1,50,83.84,77.54,1.1,,,,,,,600,0,0
26-Jul-24 16:20:57:203,DRUPLUS999,,,0,0,1,50,84.02,77.54,1,,,,,,,600,0,0
26-Jul-24 16:20:59:202,DRUPLUS999,,,1,0,1,50,84.02,77.36,1.1,,,,,,,600,0,0
26-Jul-24 16:21:01:210,DRUPLUS999,,,0,0,1,50,84.2,77.54,1.1,,,,,,,600,0,0
26-Jul-24 16:21:03:210,DRUPLUS999,,,1,0,1,50,84.38,77.54,1,,,,,,,600,0,0
26-Jul-24 16:21:05:203,DRUPLUS999,,,0,0,1,50,84.56,77.54,1.1,,,,,,,600,0,0
26-Jul-24 16:21:07:204,DRUPLUS999,,,1,0,1,50,84.92,77.72,1.1,,,,,,,600,0,0
26-Jul-24 16:21:09:204,DRUPLUS999,,,0,0,1,50,85.28,77.9,1.1,,,,,,,600,0,0
26-Jul-24 16:21:11:218,DRUPLUS999,,,1,0,1,50,85.46,78.08,1.1,,,,,,,600,0,0
26-Jul-24 16:21:13:206,DRUPLUS999,,,0,0,1,50,85.82,78.08,1,,,,,,,600,0,0
26-Jul-24 16:21:15:205,DRUPLUS999,,,1,0,1,50,86.18,78.08,1,,,,,,,600,0,0
26-Jul-24 16:21:17:205,DRUPLUS999,,,0,0,1,50,86.54,78.26,1.1,,,,,,,600,0,0
26-Jul-24 16:21:19:208,DRUPLUS999,,,1,0,1,50,87.08,78.26,1,,,,,,,600,0,0
26-Jul-24 16:21:21:207,DRUPLUS999,,,0,0,1,50,87.62,78.26,1,,,,,,,600,0,0
26-Jul-24 16:21:23:206,DRUPLUS999,,,1,0,1,50,88.16,78.44,1.1,,,,,,,600,0,0
26-Jul-24 16:21:25:206,DRUPLUS999,,,0,0,1,50,88.52,78.44,1,,,,,,,600,0,0
26-Jul-24 16:21:27:217,DRUPLUS999,,,1,0,1,50,89.24,78.62,1.1,,,,,,,600,0,0
26-Jul-24 16:21:29:206,DRUPLUS999,,,0,0,1,50,89.78,78.62,1.1,,,,,,,600,0,0
26-Jul-24 16:21:31:207,DRUPLUS999,,,1,0,1,50,90.5,78.62,1.1,,,,,,,600,0,0
26-Jul-24 16:21:33:207,DRUPLUS999,,,0,0,1,50,91.04,78.8,1.1,,,,,,,600,0,0
26-Jul-24 16:21:35:211,DRUPLUS999,,,1,0,1,50,91.76,78.98,1.1,,,,,,,600,0,0
26-Jul-24 16:21:37:209,DRUPLUS999,,,0,0,1,50,92.3,78.98,1.1,,,,,,,600,0,0
26-Jul-24 16:21:39:213,DRUPLUS999,,,1,0,1,50,93.02,79.16,1.1,,,,,,,600,0,0
26-Jul-24 16:21:41:209,DRUPLUS999,,,0,0,1,50,93.56,79.34,1,,,,,,,600,0,0
26-Jul-24 16:21:43:211,DRUPLUS999,,,1,0,1,50,94.1,79.52,1,,,,,,,600,0,0
26-Jul-24 16:21:45:211,DRUPLUS999,,,0,0,1,50,95,79.52,1,,,,,,,600,0,0
26-Jul-24 16:21:47:209,DRUPLUS999,,,1,0,1,50,95.54,79.7,1,,,,,,,600,0,0
26-Jul-24 16:21:49:209,DRUPLUS999,,,0,0,1,50,96.44,79.88,1.1,,,,,,,600,0,0
26-Jul-24 16:21:51:214,DRUPLUS999,,,1,0,1,50,96.98,79.88,1,,,,,,,600,0,0
26-Jul-24 16:21:53:210,DRUPLUS999,,,0,0,1,50,97.7,80.06,1.1,,,,,,,600,0,0
26-Jul-24 16:21:55:211,DRUPLUS999,,,1,0,1,50,98.42,80.06,1,,,,,,,600,0,0
26-Jul-24 16:21:57:209,DRUPLUS999,,,0,0,1,50,99.14,80.24,1,,,,,,,600,0,0
26-Jul-24 16:21:59:211,DRUPLUS999,,,1,0,1,50,99.86,80.42,1,,,,,,,600,0,0
26-Jul-24 16:22:01:219,DRUPLUS999,,,0,0,1,50,100.58,80.6,1,,,,,,,600,0,0
26-Jul-24 16:22:03:218,DRUPLUS999,,,1,0,1,50,101.3,80.6,1,,,,,,,600,0,0
26-Jul-24 16:22:05:219,DRUPLUS999,,,0,0,1,50,102.02,80.78,1,,,,,,,600,0,0
26-Jul-24 16:22:07:209,DRUPLUS999,,,1,0,1,50,102.74,80.96,1.1,,,,,,,600,0,0
26-Jul-24 16:22:09:216,DRUPLUS999,,,0,0,1,50,103.46,80.96,1,,,,,,,600,0,0
26-Jul-24 16:22:11:210,DRUPLUS999,,,1,0,1,50,104.18,81.14,1.1,,,,,,,600,0,0
26-Jul-24 16:22:13:224,DRUPLUS999,,,0,0,1,50,104.9,81.32,1,,,,,,,600,0,0
26-Jul-24 16:22:15:211,DRUPLUS999,,,1,0,1,50,105.44,81.5,1,,,,,,,600,0,0
26-Jul-24 16:22:17:211,DRUPLUS999,,,0,0,1,50,106.16,81.68,1,,,,,,,600,0,0
26-Jul-24 16:22:19:214,DRUPLUS999,,,1,0,1,50,106.88,81.86,1.1,,,,,,,600,0,0
26-Jul-24 16:22:21:214,DRUPLUS999,,,0,0,1,50,107.42,82.22,1.1,,,,,,,600,0,0
26-Jul-24 16:22:23:210,DRUPLUS999,,,1,0,1,50,108.32,82.22,1,,,,,,,600,0,0
26-Jul-24 16:22:25:211,DRUPLUS999,,,0,0,1,50,108.86,82.4,1,,,,,,,600,0,0
26-Jul-24 16:22:27:216,DRUPLUS999,,,1,0,1,50,109.76,82.58,1.1,,,,,,,600,0,0
26-Jul-24 16:22:29:215,DRUPLUS999,,,0,0,1,50,110.3,82.76,1,,,,,,,600,0,0
26-Jul-24 16:22:31:211,DRUPLUS999,,,1,0,1,50,111.02,82.94,1,,,,,,,600,0,0
26-Jul-24 16:22:33:211,DRUPLUS999,,,0,0,1,50,111.56,83.12,1,,,,,,,600,0,0
26-Jul-24 16:22:35:214,DRUPLUS999,,,1,0,1,50,112.46,83.12,1,,,,,,,600,0,0
26-Jul-24 16:22:37:211,DRUPLUS999,,,0,0,1,100,113,83.3,1.1,,,,,,,600,0,0
26-Jul-24 16:22:39:215,DRUPLUS999,,,1,0,1,100,113.72,83.48,1,,,,,,,600,0,0
26-Jul-24 16:22:41:218,DRUPLUS999,,,1,0,1,100,114.26,83.66,1,,,,,,,600,0,0
26-Jul-24 16:22:43:213,DRUPLUS999,,,1,0,1,100,114.98,83.84,1,,,,,,,600,0,0
26-Jul-24 16:22:45:214,DRUPLUS999,,,1,0,1,100,115.52,84.02,1,,,,,,,600,0,0
26-Jul-24 16:22:47:219,DRUPLUS999,,,1,0,1,100,116.06,84.2,1,,,,,,,600,0,0
26-Jul-24 16:22:49:216,DRUPLUS999,,,1,0,1,100,116.78,84.38,1,,,,,,,600,0,0
26-Jul-24 16:22:51:219,DRUPLUS999,,,1,0,1,100,117.32,84.56,1,,,,,,,600,0,0
26-Jul-24 16:22:53:215,DRUPLUS999,,,1,0,1,100,118.04,84.74,1,,,,,,,600,0,0
26-Jul-24 16:22:55:215,DRUPLUS999,,,1,0,1,100,118.58,84.92,1,,,,,,,600,0,0
26-Jul-24 16:22:57:215,DRUPLUS999,,,1,0,1,100,119.48,85.28,1,,,,,,,600,0,0
26-Jul-24 16:22:59:219,DRUPLUS999,,,1,0,1,100,120.02,85.46,1,,,,,,,600,0,0
26-Jul-24 16:23:01:216,DRUPLUS999,,,1,0,1,100,120.92,85.64,1,,,,,,,600,0,0
26-Jul-24 16:23:03:215,DRUPLUS999,,,1,0,1,100,121.64,85.82,1,,,,,,,600,0,0
26-Jul-24 16:23:05:215,DRUPLUS999,,,1,0,1,100,122.54,86,1,,,,,,,600,0,0
26-Jul-24 16:23:07:216,DRUPLUS999,,,0,0,1,0,123.26,86,1,,,,,,,600,0,0
26-Jul-24 16:23:09:216,DRUPLUS999,,,0,0,1,0,124.34,86.18,1,,,,,,,600,0,0
26-Jul-24 16:23:11:221,DRUPLUS999,,,0,0,1,0,125.24,86.36,1,,,,,,,600,0,0
26-Jul-24 16:23:13:221,DRUPLUS999,,,0,0,1,0,126.32,86.72,1,,,,,,,600,0,0
26-Jul-24 16:23:15:218,DRUPLUS999,,,0,0,1,0,127.22,86.9,1,,,,,,,600,0,0
26-Jul-24 16:23:17:221,DRUPLUS999,,,0,0,1,0,128.48,87.08,1,,,,,,,600,0,0
26-Jul-24 16:23:19:220,DRUPLUS999,,,0,0,1,0,129.2,87.26,1,,,,,,,600,0,0
26-Jul-24 16:23:21:224,DRUPLUS999,,,0,0,1,0,130.1,87.62,1,,,,,,,600,0,0
26-Jul-24 16:23:23:221,DRUPLUS999,,,0,0,1,0,131.36,87.8,1,,,,,,,600,0,0
26-Jul-24 16:23:25:220,DRUPLUS999,,,0,0,1,0,132.08,87.98,1,,,,,,,600,0,0
26-Jul-24 16:23:27:221,DRUPLUS999,,,0,0,1,0,133.16,88.34,1,,,,,,,600,0,0
26-Jul-24 16:23:29:220,DRUPLUS999,,,0,0,1,0,133.88,88.52,1,,,,,,,600,0,0
26-Jul-24 16:23:31:221,DRUPLUS999,,,0,0,1,0,134.78,88.7,1,,,,,,,600,0,0
26-Jul-24 16:23:33:221,DRUPLUS999,,,0,0,1,0,135.32,89.06,1,,,,,,,600,0,0
26-Jul-24 16:23:35:221,DRUPLUS999,,,0,0,1,0,136.04,89.24,1,,,,,,,600,0,0
26-Jul-24 16:23:37:221,DRUPLUS999,,,0,0,1,0,136.58,89.42,1,,,,,,,600,0,0
26-Jul-24 16:23:39:226,DRUPLUS999,,,0,0,1,0,137.12,89.78,1,,,,,,,600,0,0
26-Jul-24 16:23:41:221,DRUPLUS999,,,0,0,1,0,137.48,89.96,1,,,,,,,600,0,0
26-Jul-24 16:23:43:221,DRUPLUS999,,,0,0,1,0,137.84,90.14,1,,,,,,,600,0,0
26-Jul-24 16:23:45:221,DRUPLUS999,,,0,0,1,0,138.02,90.32,1,,,,,,,600,0,0
26-Jul-24 16:23:47:221,DRUPLUS999,,,0,0,1,0,138.2,90.68,1,,,,,,,600,0,0
26-Jul-24 16:23:49:221,DRUPLUS999,,,0,0,1,0,138.38,90.86,1,,,,,,,600,0,0
26-Jul-24 16:23:51:224,DRUPLUS999,,,0,0,1,0,138.56,91.04,1,,,,,,,600,0,0
26-Jul-24 16:23:53:223,DRUPLUS999,,,0,0,1,0,138.56,91.4,1,,,,,,,600,0,0
26-Jul-24 16:23:55:226,DRUPLUS999,,,0,0,1,0,138.56,91.58,1,,,,,,,600,0,0
26-Jul-24 16:23:57:221,DRUPLUS999,,,0,0,1,0,138.56,91.76,1,,,,,,,600,0,0
26-Jul-24 16:23:59:228,DRUPLUS999,,,0,0,1,0,138.38,91.94,1,,,,,,,600,0,0
26-Jul-24 16:24:01:221,DRUPLUS999,,,0,0,1,0,138.38,92.12,0.8,,,,,,,600,0,0
26-Jul-24 16:24:03:221,DRUPLUS999,,,0,0,1,0,138.2,92.3,1,,,,,,,600,0,0
26-Jul-24 16:24:05:228,DRUPLUS999,,,0,0,1,0,138.02,92.48,1,,,,,,,600,0,0
26-Jul-24 16:24:07:223,DRUPLUS999,,,0,0,1,0,137.84,92.48,1,,,,,,,600,0,0
26-Jul-24 16:24:09:221,DRUPLUS999,,,0,0,1,0,137.48,92.66,0.8,,,,,,,600,0,0
26-Jul-24 16:24:11:223,DRUPLUS999,,,0,0,1,0,137.3,92.84,1,,,,,,,600,0,0
26-Jul-24 16:24:13:224,DRUPLUS999,,,0,0,1,0,136.94,93.02,1,,,,,,,600,0,0
